date,pm25,pm10,o3,no2,so2,co
23-02-2022,161,126,42,7,5,6
24-02-2022,175,48,17,5,25,4
25-02-2022,89,86,44,3,19,6
26-02-2022,145,96,36,4,9,5
27-02-2022,154,81,43,4,3,9
28-02-2022,140,99,52,4,4,5
01-03-2022,150,94,71,6,5,7
02-03-2022,150,94,81,7,4,7
03-03-2022,154,82,80,7,7,7
04-03-2022,141,90,65,7,4,7
05-03-2022,144,88,70,7,3,6
06-03-2022,147,71,46,7,3,6
07-03-2022,131,78,43,7,3,5
08-03-2022,135,83,40,6,4,9
09-03-2022,142,95,39,7,3,6
10-03-2022,154,81,41,6,5,7
11-03-2022,133,108,56,7,5,5
12-03-2022,143,93,67,6,5,6
13-03-2022,146,96,61,6,3,9
14-03-2022,147,109,107,7,14,10
15-03-2022,157,126,85,9,7,9
16-03-2022,172,96,53,19,6,6
17-03-2022,153,77,69,15,6,6
18-03-2022,128,81,80,14,9,8
19-03-2022,138,90,90,15,9,5
20-03-2022,148,94,63,15,10,8
21-03-2022,144,88,69,15,13,9
22-03-2022,133,93,68,16,5,8
23-03-2022,141,133,88,15,24,10
24-03-2022,170,119,68,15,19,10
25-03-2022,159,113,69,17,4,8
26-03-2022,163,124,76,17,6,9
27-03-2022,170,128,92,16,17,7
28-03-2022,166,110,60,17,5,10
29-03-2022,164,96,43,17,23,6
30-03-2022,150,120,34,18,7,7
31-03-2022,141,70,43,17,12,4
01-10-2021,46,21,10,4,2,4
02-10-2021,50,27,7,4,2,3
03-10-2021,59,36,15,9,2,8
04-10-2021,85,57,14,7,2,4
05-10-2021,120,68,25,8,2,7
06-10-2021,132,69,22,9,2,5
07-10-2021,134,65,20,10,6,4
08-10-2021,123,66,28,10,2,6
09-10-2021,112,82,38,12,3,4
10-10-2021,141,87,37,12,3,5
11-10-2021,154,83,35,11,3,5
12-10-2021,152,73,33,10,2,4
13-10-2021,132,52,23,9,3,5
14-10-2021,97,64,24,10,2,6
15-10-2021,125,32,30,7,2,3
16-10-2021,68,27,16,6,2,4
17-10-2021,61,17,23,5,3,3
